
####################################################################
# 			       TL-WR941ND  System Log 
# Time = 2018-03-14 16:20:09 577731s
# H-Ver = WR941ND v5 00000000 : S-Ver = 3.14.19 Build 130509 Rel.63583n 
# L = 192.168.0.1 : M = 255.255.255.0
# W1 = PPPoE : W = 56.14.111.74 : M = 255.255.255.255 : G = 56.14.111.74
####################################################################

Mar 14 13:59:57	 DHCP      	INFO   	DHCPS:Recv REQUEST from 03:B4:1D:40:9B:CD
Mar 14 13:59:57	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.0.104
Mar 14 14:00:53	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:00:55	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:02:12	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:03:21	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:04:44	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:05:58	 DHCP      	INFO   	DHCPS:Recv REQUEST from 51:FD:DE:2B:B6:DE
Mar 14 14:05:58	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.0.101
Mar 14 14:06:54	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:09:08	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:09:23	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:10:53	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:10:55	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:12:12	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:13:21	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:14:44	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:16:54	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:19:08	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:19:23	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:20:53	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:20:55	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:22:12	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:23:21	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:24:44	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:25:57	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
